Wall time,Step,Value
1670953869.601428,0,0.03863487392663956
1670953947.870554,1,0.006220722571015358
1670954026.0912,2,0.076475128531456
1670954104.2873592,3,0.060925401747226715
1670954182.4656546,4,0.009679187089204788
1670954260.6738062,5,0.0011271006660535932
1670954338.835127,6,0.0727374404668808
1670954417.071855,7,0.02677812986075878
1670954495.3144035,8,0.06549099832773209
1670954573.4806874,9,0.09665457904338837
1670954651.6037667,10,0.01976890116930008
1670954729.7769089,11,0.017828358337283134
1670954807.9184487,12,0.0546434223651886
1670954886.0667534,13,0.00858398899435997
1670954964.3179715,14,0.015749169513583183
1670955042.4329717,15,0.04827681928873062
1670955120.6218581,16,0.0035738851875066757
1670955198.7802775,17,0.07229356467723846
1670955277.1508849,18,0.030456198379397392
1670955355.3673372,19,0.07603748142719269
1670955433.5585449,20,0.0042852843180298805
1670955511.6364257,21,0.03339334949851036
1670955589.891419,22,0.06520143151283264
1670955668.084256,23,0.02890089713037014
1670955746.3839738,24,0.05188405141234398
1670955824.5758479,25,0.016897406429052353
1670955902.7691324,26,0.05211416631937027
1670955980.9753652,27,0.03482490032911301
1670956059.1529896,28,0.007500777952373028
1670956137.3525944,29,0.04837321490049362
1670956215.5760636,30,0.08751019090414047
1670956293.7800767,31,0.0912386104464531
1670956371.902646,32,0.038402773439884186
1670956450.217509,33,0.06089116260409355
1670956528.4328287,34,0.10081272572278976
1670956606.6856537,35,0.006474990397691727
1670956684.8698235,36,0.05105273053050041
1670956763.002704,37,0.02333197370171547
1670956841.275216,38,0.00728054903447628
1670956919.5375404,39,0.02978130429983139
1670956997.7353232,40,0.0376184806227684
1670957076.053935,41,0.012503060512244701
1670957154.3082032,42,0.009463280439376831
1670957232.4494717,43,0.006684744264930487
1670957310.5523295,44,0.037743739783763885
1670957388.7308557,45,0.07838460803031921
1670957466.927636,46,0.05480296164751053
1670957545.1611626,47,0.012182392179965973
1670957623.4538965,48,0.03094584122300148
1670957701.6182108,49,0.01164819486439228
1670957779.7277582,50,0.10238399356603622
1670957857.9066856,51,0.10224731266498566
1670957936.076971,52,0.06266798079013824
1670958014.2266772,53,0.032862838357686996
1670958092.433543,54,0.0334942564368248
1670958170.6660132,55,0.10287313908338547
1670958248.8569589,56,0.018344800919294357
1670958327.055546,57,0.07322607189416885
1670958405.1781363,58,0.06343014538288116
1670958483.2988656,59,0.029422275722026825
1670958561.493548,60,0.014270398765802383
1670958639.734599,61,0.08777333796024323
1670958718.0095608,62,0.034247949719429016
1670958796.1991498,63,0.06644131988286972
1670958874.5014422,64,0.06140686571598053
1670958952.7909746,65,0.07944677770137787
1670959031.021905,66,0.02720632217824459
1670959109.2158062,67,0.06149905174970627
1670959187.4578056,68,0.048844680190086365
1670959265.7497323,69,0.01440192386507988
1670959344.0358915,70,0.017759408801794052
1670959422.249342,71,0.01775340735912323
1670959500.368631,72,0.06723996996879578
1670959578.504999,73,0.016220569610595703
1670959656.685609,74,0.05796070024371147
1670959734.8402448,75,0.04715754836797714
1670959813.0737925,76,0.0849560797214508
1670959891.255019,77,0.07381009310483932
1670959969.4287117,78,0.01185680367052555
1670960047.5386374,79,0.1344706267118454
1670960125.7348545,80,0.06160908192396164
1670960203.9230797,81,0.01608511619269848
1670960282.1539626,82,0.052321553230285645
1670960360.3687499,83,0.05132447928190231
1670960438.577388,84,0.0215273629873991
1670960516.8222234,85,0.10068904608488083
1670960595.0013497,86,0.042491089552640915
1670960673.2625263,87,0.013352702371776104
1670960751.4819515,88,0.1239984855055809
1670960829.7192929,89,0.010238032788038254
1670960907.8420537,90,0.0681685209274292
1670960986.0421314,91,0.008251870051026344
1670961064.1829243,92,0.02826869487762451
1670961142.43026,93,0.08812198042869568
1670961220.6886234,94,0.09015719592571259
1670961298.9223752,95,0.04966786503791809
1670961377.063821,96,0.013446394354104996
1670961455.1901116,97,0.06460309028625488
1670961533.4641771,98,0.04911675304174423
1670961611.6998138,99,0.02819889411330223
